,playerID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID,nameFull
2114,bullibu01,1952.0,12.0,15.0,USA,CA,Lynwood,2014.0,3.0,8.0,USA,OR,Salem,Bud,Bulling,Terry Charles,200.0,73.0,R,R,7/3/1977,4/14/1983,bullb101,bullibu01,Terry Charles Bulling
2115,bulliji01,1965.0,8.0,21.0,USA,LA,New Orleans,,,,,,,Jim,Bullinger,James Eric,185.0,74.0,R,R,5/27/1992,4/7/1998,bullj001,bulliji01,James Eric Bullinger
2116,bulliki01,1969.0,10.0,28.0,USA,LA,New Orleans,,,,,,,Kirk,Bullinger,Kirk Matthew,170.0,74.0,R,R,8/30/1998,9/6/2004,bullk001,bulliki01,Kirk Matthew Bullinger
2117,bulloer01,1960.0,2.0,16.0,USA,CA,Los Angeles,,,,,,,Eric,Bullock,Eric Gerald,185.0,71.0,L,L,8/26/1985,4/30/1992,bulle001,bulloer01,Eric Gerald Bullock
2118,bullore01,1911.0,10.0,12.0,USA,MS,Biloxi,1988.0,6.0,27.0,USA,MS,Pascagoula,Red,Bullock,Malton Joseph,192.0,73.0,L,L,5/19/1936,9/6/1936,bullr101,bullore01,Malton Joseph Bullock
2119,bumbral01,1947.0,4.0,21.0,USA,VA,Fredericksburg,,,,,,,Al,Bumbry,Alonza Benjamin,170.0,68.0,L,R,9/5/1972,10/5/1985,bumba001,bumbral01,Alonza Benjamin Bumbry
2120,bumgama01,1989.0,8.0,1.0,USA,NC,Hickory,,,,,,,Madison,Bumgarner,Madison Kyle,235.0,77.0,R,L,9/8/2009,9/23/2014,bumgm001,bumgama01,Madison Kyle Bumgarner
2121,bumpna01,1976.0,7.0,24.0,USA,PA,Towanda,,,,,,,Nate,Bump,Nathan Louis,195.0,74.0,L,R,6/28/2003,7/16/2005,bumpn001,bumpna01,Nathan Louis Bump
2122,buncejo01,1847.0,5.0,10.0,USA,NY,Brooklyn,1912.0,4.0,28.0,USA,NY,Brooklyn,Josh,Bunce,Joshua,,,,,1877-08-27,1877-08-27,buncj101,buncejo01,Joshua Bunce
2123,bunchme01,1971.0,11.0,4.0,USA,TX,Texarkana,,,,,,,Melvin,Bunch,Melvin Lynn,165.0,73.0,R,R,5/6/1995,6/25/1999,buncm001,bunchme01,Melvin Lynn Bunch
2124,bundydy01,1992.0,11.0,15.0,USA,OK,Tulsa,,,,,,,Dylan,Bundy,Dylan Matthew,195.0,73.0,B,R,9/23/2012,9/25/2012,bundd001,bundydy01,Dylan Matthew Bundy
2125,bunkewa01,1945.0,1.0,25.0,USA,WA,Seattle,,,,,,,Wally,Bunker,Wallace Edward,197.0,74.0,R,R,9/29/1963,5/26/1971,bunkw101,bunkewa01,Wallace Edward Bunker
2126,bunniji01,1931.0,10.0,23.0,USA,KY,Southgate,,,,,,,Jim,Bunning,James Paul David,190.0,75.0,R,R,7/20/1955,9/3/1971,bunnj101,bunniji01,James Paul David Bunning
2127,burbabi01,1947.0,8.0,22.0,USA,WI,Dickeyville,,,,,,,Bill,Burbach,William David,215.0,76.0,R,R,4/11/1969,4/24/1971,burbb101,burbabi01,William David Burbach
2128,burbada01,1966.0,7.0,7.0,USA,OH,Dayton,,,,,,,Dave,Burba,David Allen,220.0,76.0,R,R,9/8/1990,9/19/2004,burbd001,burbada01,David Allen Burba
2129,burbrne01,1921.0,12.0,28.0,USA,OH,Cincinnati,2001.0,4.0,12.0,USA,FL,Largo,Nelson,Burbrink,Nelson Edward,195.0,70.0,R,R,6/5/1955,9/21/1955,burbn101,burbrne01,Nelson Edward Burbrink
